materia,sigla,link
INGRESO 2025,ING,https://chat.whatsapp.com/DdkZBvyjYMqAhnKdWCQJjC 
ALGORITMOS Y PROGRAMACIÓN 1,AYP1,https://chat.whatsapp.com/Cev4eRUEImQJGcORiNAEEg
ALGORITMOS Y PROGRAMACIÓN 2, AYP2,https://chat.whatsapp.com/BS9fKcLVXXZFYy4Ap9DKZM 
MATEMÁTICA B,MATB,https://chat.whatsapp.com/CTvRDvjJHh5AIe5dlQexdC 
ECONOMÍA Y MEDICIÓN ECONÓMICA,ECO,https://chat.whatsapp.com/DNGjsk3ZGsIC4z9ValOjSi
TALLER DE LENGUAJES ,TDL,https://chat.whatsapp.com/Hf22WCTR4L5CiykJWQ92ZF 
MATEMÁTICA C,MATC,https://chat.whatsapp.com/BgxK2bTR8p55Cyrm2eVoinT 
BASE DE DATOS,BDD,https://chat.whatsapp.com/EftBgdnLenzFmdzZ28PU2V 	
PROCESOS DE NEGOCIO,PDN,https://chat.whatsapp.com/KIdUbFvG6CD06gnmhTA07l 
MATEMÁTICA D,MATD,https://chat.whatsapp.com/GvxGV3X9yvsH1J2spT70DG 
INGLÉS,ING,https://chat.whatsapp.com/KN7aIk2AxgH8PhsHkrR8Xw 
