materia,sigla,link
GRUPO GENERAL,GENERAL,https://chat.whatsapp.com/DCjaB6aDOBvGTFlz9SKvXS
ORGANIZACIÓN DE COMPUTADORAS,OC,https://chat.whatsapp.com/FABIMGeagCW2piOdGH6dFu
CADP,CADP,https://chat.whatsapp.com/FusPKnHrQXLE9UKEr3blgU
MATEMÁTICA 1,M1,https://chat.whatsapp.com/CzBpkgOw9Vf4qFlnFbYx8Y
ARQUITECTURA DE COMPUTADORAS,AC,https://chat.whatsapp.com/LGQt04Z6oNy7F2ti4YrQw6
TALLER DE PROGRAMACIÓN,TALLER,https://chat.whatsapp.com/FvkbrOIkFJrC5iofdAgnWg
MATEMÁTICA 2,M2,https://chat.whatsapp.com/JJmn0CBYwIt05PNclIEeVC
FUNDAMENTOS DE ORGANIZACIÓN DE DATOS,FOD,https://chat.whatsapp.com/CmJRAD9dnHRECSCZsVErwr
ALGORITMOS Y ESTRUCTURAS DE DATOS,AYED,https://chat.whatsapp.com/IGRQCiMhqwz3R6DIaJSOJp
SEMINARIO DE LENGUAJES .NET,.NET,https://chat.whatsapp.com/In5yOhsqoFeF5iBltDjmAB
SEMINARIO PHP - REACT - API REST,PHP,https://chat.whatsapp.com/IjJKhrem7GY3vI7Slfsr8R
DISEÑO DE BASES DE DATOS,DBD,https://chat.whatsapp.com/BJdgbSta3F9JxKTzHzAHhc
INGENIERÍA DE SOFTWARE 1,IS1,https://chat.whatsapp.com/L6wM3PQ3uqFJQnYDOx8qyy
OBJETOS 1,OO1,https://chat.whatsapp.com/BbSL3yBphCuK57pC1blhhG
INTRODUCCIÓN A LOS SISTEMAS OPERATIVOS,ISO,https://chat.whatsapp.com/LeFqYrtkNtVKKUfcMM3z13
INGLÉS,INGLÉS,https://chat.whatsapp.com/BARbLwAWa0SDjmSPWOS7ZZ
MATEMÁTICA 3,M3,https://chat.whatsapp.com/Kbx0hnbjynNCcdETv4pGMQ
OBJETOS 2,OO2,https://chat.whatsapp.com/I58guaZJlhJ3rUkhOnD5de
CONCEPTOS Y PARADIGMAS DE LENGUAJES,CYPL,https://chat.whatsapp.com/DKiY1GD5gRVLqfIs5cPzte
REDES Y COMUNICACIONES,REDES,https://chat.whatsapp.com/Gk3bExlJweMLE9CECeLpeu
PROGRAMACIÓN CONCURRENTE,CONCU,https://chat.whatsapp.com/Hgq20ThAxUU13dgE5xXb0FP
PROYECTO DE SOFTWARE,PROYECTO,https://chat.whatsapp.com/GNAdhsnmclV9yoP3w6cLOr
COMPUTABILIDAD Y COMPLEJIDAD,CC,https://chat.whatsapp.com/FFk7svgu3SB7yuKe1OdmQe
MATEMÁTICA 4,M4,https://chat.whatsapp.com/G5wMvuGjO68EX8BUWEWGbW
